id,fecha,ubicacion,aerolinea,ruta,tipo,total_abordo,fallecidos,fallecidos_en_tierra,anio
0,1908-09-17,"Fort Myer, Virginia",Military - U.S. Army,Demonstration,Wright Flyer III,2,1,0,1908
1,1909-09-07,"Juvisy-sur-Orge, France",sin informacion,Air show,Wright Byplane,1,1,0,1909
2,1912-07-12,"Atlantic City, New Jersey",Military - U.S. Navy,Test flight,Dirigible,5,5,0,1912
3,1913-08-06,"Victoria, British Columbia, Canada",Private,sin informacion,Curtiss seaplane,1,1,0,1913
4,1913-09-09,Over the North Sea,Military - German Navy,sin informacion,Zeppelin L-1 (airship),20,14,0,1913
5,1913-10-17,"Near Johannisthal, Germany",Military - German Navy,sin informacion,Zeppelin L-2 (airship),28,28,0,1913
6,1915-03-05,"Tienen, Belgium",Military - German Navy,sin informacion,Zeppelin L-8 (airship),41,17,0,1915
7,1915-09-03,"Off Cuxhaven, Germany",Military - German Navy,sin informacion,Zeppelin L-10 (airship),19,19,0,1915
8,1916-07-28,"Near Jambol, Bulgeria",Military - German Army,sin informacion,Schutte-Lanz S-L-10 (airship),20,20,0,1916
9,1916-09-24,"Billericay, England",Military - German Navy,sin informacion,Zeppelin L-32 (airship),22,22,0,1916
10,1916-10-01,"Potters Bar, England",Military - German Navy,sin informacion,Zeppelin L-31 (airship),19,19,0,1916
11,1916-11-21,"Mainz, Germany",Military - German Army,sin informacion,Super Zeppelin (airship),28,27,0,1916
12,1916-11-28,"Off West Hartlepool, England",Military - German Navy,sin informacion,Zeppelin L-34 (airship),20,20,0,1916
13,1917-03-04,"Near Gent, Belgium",Military - German Army,sin informacion,Airship,20,20,0,1917
14,1917-03-30,Off Northern Germany,Military - German Navy,sin informacion,Schutte-Lanz S-L-9 (airship),23,23,0,1917
15,1917-05-14,"Near Texel Island, North Sea",Military - German Navy,sin informacion,Zeppelin L-22 (airship),21,21,0,1917
16,1917-06-14,"Off Vlieland Island, North Sea",Military - German Navy,sin informacion,Zeppelin L-43 (airship),24,24,0,1917
17,1917-06-17,"Near Yarmouth, England",sin informacion,sin informacion,Zepplin L-48 (air ship),16,14,0,1917
18,1917-08-21,Off western Denmark,Military - German Navy,sin informacion,Zeppelin L-23 (airship),18,18,0,1917
19,1917-10-20,"Near Luneville, France",Military - German Navy,sin informacion,Zeppelin L-44 (airship),18,18,0,1917
